"CsFile","CsLine","RawRef","RefFile","RefLineLo","RefLineHi","Status","Detail"
"Parser/Parser.cs","632","LILYPOND-REF: lily/context-property.cc","lily/context-property.cc",,,"NoRange","rangeRaw=''"
"Parser/Parser.cs","673","LILYPOND-REF: lily/context-property.cc","lily/context-property.cc",,,"NoRange","rangeRaw=''"
"Parser/Parser.cs","686","LILYPOND-REF: lily/context-property.cc","lily/context-property.cc",,,"NoRange","rangeRaw=''"
"Parser/Parser.cs","1146","LILYPOND-REF: lily/lyric-engraver.cc:90-120 ","lily/lyric-engraver.cc","90","120","OK","lo=90 hi=120 totalLines=221"
"Parser/Parser.cs","1187","LILYPOND-REF: lily/lyric-engraver.cc:60-88 ","lily/lyric-engraver.cc","60","88","OK","lo=60 hi=88 totalLines=221"
"Parser/Parser.cs","1372","LILYPOND-REF: lily/figured-bass-engraver.cc","lily/figured-bass-engraver.cc",,,"NoRange","rangeRaw=''"
"Pdf/PdfGenerator.cs","30","LILYPOND-REF: lily/cairo.cc","lily/cairo.cc",,,"NoRange","rangeRaw=''"
"Pdf/Renderer/PdfRenderer.cs","29","LILYPOND-REF: lily/cairo.cc","lily/cairo.cc",,,"NoRange","rangeRaw=''"
"Svg/EmmentalerGlyphs.cs","32","LILYPOND-REF: lily/clef.cc:29-52 ","lily/clef.cc","29","52","OK","lo=29 hi=52 totalLines=82"
"Svg/EmmentalerGlyphs.cs","71","LILYPOND-REF: lily/accidental.cc:35-46 ","lily/accidental.cc","35","46","OK","lo=35 hi=46 totalLines=167"
"Svg/EmmentalerGlyphs.cs","72","LILYPOND-REF: mf/feta-parenthesis.mf","mf/feta-parenthesis.mf",,,"NoRange","rangeRaw=''"
"Svg/EngravingDefaults.cs","24","LILYPOND-REF: lily/spacing-options.cc:52-63 ","lily/spacing-options.cc","52","63","OK","lo=52 hi=63 totalLines=108"
"Svg/EngravingDefaults.cs","25","LILYPOND-REF: scm/define-grobs.scm","scm/define-grobs.scm",,,"NoRange","rangeRaw=''"
"Svg/EngravingDefaults.cs","92","LILYPOND-REF: lily/stem.cc","lily/stem.cc",,,"NoRange","rangeRaw=''"
"Svg/EngravingRules.cs","24","LILYPOND-REF: scm/define-grobs.scm","scm/define-grobs.scm",,,"NoRange","rangeRaw=''"
"Svg/EngravingRules.cs","32","LILYPOND-REF: scm/define-grobs.scm","scm/define-grobs.scm",,,"NoRange","rangeRaw=''"
"Svg/EngravingRules.cs","37","LILYPOND-REF: scm/define-grobs.scm","scm/define-grobs.scm",,,"NoRange","rangeRaw=''"
"Svg/EngravingRules.cs","43","LILYPOND-REF: scm/define-grobs.scm:3239-3247 ","scm/define-grobs.scm","3239","3247","OK","lo=3239 hi=3247 totalLines=4414"
"Svg/EngravingRules.cs","77","LILYPOND-REF: lily/note-spacing.cc","lily/note-spacing.cc",,,"NoRange","rangeRaw=''"
"Svg/EngravingRules.cs","81","LILYPOND-REF: scm/define-grobs.scm","scm/define-grobs.scm",,,"NoRange","rangeRaw=''"
"Svg/EngravingRules.cs","87","LILYPOND-REF: scm/define-grobs.scm","scm/define-grobs.scm",,,"NoRange","rangeRaw=''"
"Svg/EngravingRules.cs","91","LILYPOND-REF: scm/define-grobs.scm","scm/define-grobs.scm",,,"NoRange","rangeRaw=''"
"Svg/EngravingRules.cs","95","LILYPOND-REF: scm/define-grobs.scm","scm/define-grobs.scm",,,"NoRange","rangeRaw=''"
"Svg/EngravingRules.cs","99","LILYPOND-REF: scm/define-grobs.scm","scm/define-grobs.scm",,,"NoRange","rangeRaw=''"
"Svg/SvgGenerator.cs","131","LILYPOND-REF: lily/book.cc","lily/book.cc",,,"NoRange","rangeRaw=''"
"Svg/Collector/BeamDetector.cs","28","LILYPOND-REF: lily/beaming-pattern.cc","lily/beaming-pattern.cc",,,"NoRange","rangeRaw=''"
"Svg/Collector/BeamDetector.cs","29","LILYPOND-REF: lily/auto-beam-engraver.cc","lily/auto-beam-engraver.cc",,,"NoRange","rangeRaw=''"
"Svg/Collector/BeamDetector.cs","162","LILYPOND-REF: lily/beaming-pattern.cc","lily/beaming-pattern.cc",,,"NoRange","rangeRaw=''"
"Svg/Collector/GlissandoDetector.cs","26","LILYPOND-REF: scm/scheme-engravers.scm","scm/scheme-engravers.scm",,,"NoRange","rangeRaw=''"
"Svg/Collector/LyricCollector.cs","27","LILYPOND-REF: lily/lyric-engraver.cc:60-88 ","lily/lyric-engraver.cc","60","88","OK","lo=60 hi=88 totalLines=221"
"Svg/Collector/LyricCollector.cs","28","LILYPOND-REF: lily/lyric-combine-music-iterator.cc:1-200","lily/lyric-combine-music-iterator.cc","1","200","OK","lo=1 hi=200 totalLines=378"
"Svg/Collector/LyricCollector.cs","95","LILYPOND-REF: lily/lyric-engraver.cc:40-60 ","lily/lyric-engraver.cc","40","60","OK","lo=40 hi=60 totalLines=221"
"Svg/Collector/MeasureCollector.cs","378","LILYPOND-REF: lily/accidental-engraver.cc","lily/accidental-engraver.cc",,,"NoRange","rangeRaw=''"
"Svg/Collector/MeasureCollector.cs","766","LILYPOND-REF: lily/clef-engraver.cc","lily/clef-engraver.cc",,,"NoRange","rangeRaw=''"
"Svg/Collector/MeasureCollector.cs","778","LILYPOND-REF: lily/key-engraver.cc","lily/key-engraver.cc",,,"NoRange","rangeRaw=''"
"Svg/Collector/MeasureCollector.cs","795","LILYPOND-REF: lily/tuplet-engraver.cc","lily/tuplet-engraver.cc",,,"NoRange","rangeRaw=''"
"Svg/Collector/MeasureCollector.cs","800","LILYPOND-REF: lily/percent-repeat-engraver.cc","lily/percent-repeat-engraver.cc",,,"NoRange","rangeRaw=''"
"Svg/Collector/MeasureCollector.cs","826","LILYPOND-REF: lily/tuplet-engraver.cc","lily/tuplet-engraver.cc",,,"NoRange","rangeRaw=''"
"Svg/Collector/MeasureCollector.cs","827","LILYPOND-REF: lily/tuplet-bracket.cc:400-500 - ","lily/tuplet-bracket.cc","400","500","OK","lo=400 hi=500 totalLines=915"
"Svg/Collector/MeasureCollector.cs","872","LILYPOND-REF: lily/tuplet-bracket.cc","lily/tuplet-bracket.cc",,,"NoRange","rangeRaw=''"
"Svg/Collector/MeasureCollector.cs","883","LILYPOND-REF: lily/tuplet-bracket.cc","lily/tuplet-bracket.cc",,,"NoRange","rangeRaw=''"
"Svg/Collector/MeasureCollector.cs","1107","LILYPOND-REF: lily/accidental-engraver.cc","lily/accidental-engraver.cc",,,"NoRange","rangeRaw=''"
"Svg/Collector/MeasureCollector.cs","1138","LILYPOND-REF: lily/accidental-engraver.cc","lily/accidental-engraver.cc",,,"NoRange","rangeRaw=''"
"Svg/Collector/MeasureCollector.cs","1166","LILYPOND-REF: lily/accidental-engraver.cc","lily/accidental-engraver.cc",,,"NoRange","rangeRaw=''"
"Svg/Collector/MeasureCollector.cs","1190","LILYPOND-REF: lily/accidental-engraver.cc","lily/accidental-engraver.cc",,,"NoRange","rangeRaw=''"
"Svg/Collector/MeasureCollector.cs","1332","LILYPOND-REF: lily/tuplet-bracket.cc","lily/tuplet-bracket.cc",,,"NoRange","rangeRaw=''"
"Svg/Collector/MeasureCollector.cs","1614","LILYPOND-REF: lily/arpeggio.cc","lily/arpeggio.cc",,,"NoRange","rangeRaw=''"
"Svg/Collector/MeasureCollector.cs","1638","LILYPOND-REF: scm/scheme-engravers.scm","scm/scheme-engravers.scm",,,"NoRange","rangeRaw=''"
"Svg/Collector/MeasureCollector.cs","1707","LILYPOND-REF: lily/percent-repeat-engraver.cc","lily/percent-repeat-engraver.cc",,,"NoRange","rangeRaw=''"
"Svg/Collector/MeasureCollector.cs","1708","LILYPOND-REF: lily/percent-repeat-iterator.cc","lily/percent-repeat-iterator.cc",,,"NoRange","rangeRaw=''"
"Svg/Collector/MeasureCollector.cs","1757","LILYPOND-REF: lily/figured-bass-engraver.cc","lily/figured-bass-engraver.cc",,,"NoRange","rangeRaw=''"
"Svg/Collector/MeasureCollector.cs","1790","LILYPOND-REF: scm/scheme-engravers.scm:1309 - ","scm/scheme-engravers.scm","1309","1309","OK","lo=1309 hi=1309 totalLines=2641"
"Svg/Collector/MeasureCollector.cs","1823","LILYPOND-REF: lily/beam.cc:1451-1459 - ","lily/beam.cc","1451","1459","OK","lo=1451 hi=1459 totalLines=1612"
"Svg/Collector/MeasureCollector.cs","1858","LILYPOND-REF: lily/context-property.cc","lily/context-property.cc",,,"NoRange","rangeRaw=''"
"Svg/Collector/MeasureCollector.cs","1870","LILYPOND-REF: lily/context-property.cc","lily/context-property.cc",,,"NoRange","rangeRaw=''"
"Svg/Collector/MeasureCollector.cs","1951","LILYPOND-REF: scm/scheme-engravers.scm","scm/scheme-engravers.scm",,,"NoRange","rangeRaw=''"
