"Grob","MatchCount","Status"
"Accidental","53","Used"
"AccidentalCautionary","0","Absent"
"AccidentalPlacement","12","Used"
"AccidentalSuggestion","3","Used"
"Ambitus","2","Mention"
"AmbitusAccidental","0","Absent"
"AmbitusLine","0","Absent"
"AmbitusNoteHead","0","Absent"
"ApproximatePitchNoteHead","0","Absent"
"Arpeggio","3","Used"
"BalloonText","0","Absent"
"BarLine","8","Used"
"BarNumber","0","Absent"
"BassFigure","7","Used"
"BassFigureAlignment","0","Absent"
"BassFigureAlignmentPositioning","0","Absent"
"BassFigureBracket","0","Absent"
"BassFigureContinuation","0","Absent"
"BassFigureLine","0","Absent"
"Beam","21","Used"
"BendAfter","0","Absent"
"BendSpanner","0","Absent"
"BreakAlignGroup","0","Absent"
"BreakAlignment","1","Mention"
"BreathingSign","2","Mention"
"CaesuraScript","0","Absent"
"CenteredBarNumber","0","Absent"
"CenteredBarNumberLineSpanner","0","Absent"
"ChordBracket","0","Absent"
"ChordName","6","Used"
"ChordSlur","0","Absent"
"ChordSquare","0","Absent"
"Clef","71","Used"
"ClefModifier","5","Used"
"ClusterSpanner","0","Absent"
"ClusterSpannerBeacon","0","Absent"
"CodaMark","3","Used"
"CombineTextScript","2","Mention"
"ControlPoint","0","Absent"
"ControlPolygon","0","Absent"
"CueClef","2","Mention"
"CueEndClef","2","Mention"
"Custos","0","Absent"
"Divisio","0","Absent"
"DotColumn","0","Absent"
"Dots","50","Used"
"DoublePercentRepeat","0","Absent"
"DoublePercentRepeatCounter","0","Absent"
"DoubleRepeatSlash","0","Absent"
"DurationLine","0","Absent"
"DynamicLineSpanner","10","Used"
"DynamicText","6","Used"
"DynamicTextSpanner","1","Mention"
"Episema","0","Absent"
"FingerGlideSpanner","0","Absent"
"Fingering","0","Absent"
"FingeringColumn","0","Absent"
"Flag","14","Used"
"Footnote","0","Absent"
"FretBoard","0","Absent"
"Glissando","0","Absent"
"GraceSpacing","5","Used"
"GridChordName","0","Absent"
"GridLine","0","Absent"
"GridPoint","0","Absent"
"Hairpin","7","Used"
"HorizontalBracket","0","Absent"
"HorizontalBracketText","0","Absent"
"InstrumentName","40","Used"
"InstrumentSwitch","0","Absent"
"JumpScript","0","Absent"
"KeyCancellation","6","Used"
"KeySignature","67","Used"
"KievanLigature","0","Absent"
"LaissezVibrerTie","0","Absent"
"LaissezVibrerTieColumn","0","Absent"
"LedgerLineSpanner","0","Absent"
"LeftEdge","5","Used"
"LigatureBracket","0","Absent"
"LyricExtender","0","Absent"
"LyricHyphen","1","Mention"
"LyricRepeatCount","0","Absent"
"LyricSpace","0","Absent"
"LyricText","5","Used"
"MeasureCounter","0","Absent"
"MeasureGrouping","0","Absent"
"MeasureSpanner","0","Absent"
"MelodyItem","0","Absent"
"MensuralLigature","0","Absent"
"MetronomeMark","7","Used"
"MultiMeasureRest","0","Absent"
"MultiMeasureRestNumber","0","Absent"
"MultiMeasureRestScript","0","Absent"
"MultiMeasureRestText","0","Absent"
"NonMusicalPaperColumn","0","Absent"
"NoteCollision","4","Used"
"NoteColumn","1","Mention"
"NoteHead","11","Used"
"NoteName","0","Absent"
"NoteSpacing","1","Mention"
"OptionalMaterialBracket","0","Absent"
"OttavaBracket","6","Used"
"PaperColumn","0","Absent"
"Parentheses","1","Mention"
"PercentRepeat","4","Used"
"PercentRepeatCounter","0","Absent"
"PhrasingSlur","1","Mention"
"PianoPedalBracket","4","Used"
"RehearsalMark","7","Used"
"RepeatSlash","0","Absent"
"RepeatTie","0","Absent"
"RepeatTieColumn","0","Absent"
"Rest","10","Used"
"RestCollision","0","Absent"
"Script","4","Used"
"ScriptColumn","0","Absent"
"ScriptRow","0","Absent"
"SectionLabel","28","Used"
"SegnoMark","3","Used"
"SignumRepetitionis","0","Absent"
"Slur","20","Used"
"SostenutoPedal","0","Absent"
"SostenutoPedalLineSpanner","0","Absent"
"SpacingSpanner","3","Used"
"SpanBar","0","Absent"
"SpanBarStub","0","Absent"
"StaffGrouper","10","Used"
"StaffHighlight","0","Absent"
"StaffSpacing","10","Used"
"StaffSymbol","1","Mention"
"StanzaNumber","0","Absent"
"Stem","65","Used"
"StemStub","0","Absent"
"StemTremolo","2","Mention"
"StringNumber","3","Used"
"StrokeFinger","0","Absent"
"SustainPedal","2","Mention"
"SustainPedalLineSpanner","3","Used"
"SystemStartBar","4","Used"
"SystemStartBrace","4","Used"
"SystemStartBracket","12","Used"
"SystemStartSquare","5","Used"
"TabNoteHead","0","Absent"
"TextMark","0","Absent"
"TextScript","3","Used"
"TextSpanner","13","Used"
"Tie","17","Used"
"TieColumn","0","Absent"
"TimeSignature","68","Used"
"TrillPitchAccidental","0","Absent"
"TrillPitchGroup","0","Absent"
"TrillPitchHead","0","Absent"
"TrillPitchParentheses","0","Absent"
"TrillSpanner","9","Used"
"TupletBracket","8","Used"
"TupletNumber","0","Absent"
"UnaCordaPedal","0","Absent"
"UnaCordaPedalLineSpanner","0","Absent"
"VaticanaLigature","0","Absent"
"VerticalAlignment","0","Absent"
"VerticalAxisGroup","3","Used"
"VoiceFollower","0","Absent"
"VoltaBracket","2","Mention"
"VoltaBracketSpanner","3","Used"
"VowelTransition","0","Absent"
