"File","Line","Literals","Text","NearbyRef","Decision"
"Svg/Layout/SpacingRules.cs","33","3.6","public const double QuarterNoteWidth = 3.6;","","Yellow"
"Svg/Layout/SpacingRules.cs","36","2.0","public const double MinNoteWidth = 2.0;","","Red"
"Svg/Layout/SpacingRules.cs","39","1.2","public const double AccidentalWidth = 1.2;","","Red"
"Svg/Layout/SpacingRules.cs","42","0.6","public const double DotWidth = 0.6;","","Red"
"Svg/Layout/SpacingRules.cs","45","0.8","public const double BarlineWidth = 0.8;","","Red"
"Svg/Layout/SpacingRules.cs","48","1.6","public const double RepeatBarlineWidth = 1.6;","","Red"
"Svg/Layout/SpacingRules.cs","51","1.2","public const double DoubleBarlineWidth = 1.2;","","Red"
"Svg/Layout/SpacingRules.cs","169","1.5","BarlineType.RepeatBoth => RepeatBarlineWidth * 1.5,","","Red"
"Svg/Layout/SpacingRules.cs","288","2.0","return clefWidth / 2.0 + GlyphMetrics.ClefChangePadding;","LILYPOND-REF: lily/clef.cc — change clefs are smaller variants","Green"
"Svg/Layout/SpacingRules.cs","295","2.0","return keyWidth / 2.0 + GlyphMetrics.ClefChangePadding;","","Red"
"Svg/Layout/SpacingRules.cs","352","2.0","return clefWidth / 2.0 + GlyphMetrics.ClefChangePadding;","","Red"
"Svg/Layout/SpacingRules.cs","359","2.0","return keyWidth / 2.0 + GlyphMetrics.ClefChangePadding;","","Red"
"Svg/Layout/SpacingRules.cs","482","0.1","double inverseStretchStrength = Math.Max(0.1, idealDistance - defaultMin);","","Red"
"Svg/Layout/SpacingRules.cs","522","0.5","return noteParams.StemSpacingCorrection * increment * 0.5;","LILYPOND-REF: note-spacing.cc:141-162 (different direction correction)","Green"
"Svg/Layout/SpacingRules.cs","532","0.5","return -noteParams.SameDirectionCorrection * increment * 0.5;","LILYPOND-REF: note-spacing.cc:305-310","Green"
