"Property","PascalCase","MatchCount","Status"
"accidental-grob","AccidentalGrob","0","Absent"
"accidental-grobs","AccidentalGrobs","0","Absent"
"accidental-padding","AccidentalPadding","0","Absent"
"add-cauda","AddCauda","0","Absent"
"add-join","AddJoin","0","Absent"
"add-stem","AddStem","0","Absent"
"add-stem-support","AddStemSupport","0","Absent"
"adjacent-pure-heights","AdjacentPureHeights","0","Absent"
"adjacent-spanners","AdjacentSpanners","0","Absent"
"after-line-breaking","AfterLineBreaking","0","Absent"
"align-dir","AlignDir","0","Absent"
"all-elements","AllElements","0","Absent"
"allow-loose-spacing","AllowLooseSpacing","0","Absent"
"allow-span-bar","AllowSpanBar","0","Absent"
"allow-span-bar-above","AllowSpanBarAbove","0","Absent"
"alteration","Alteration","33","Used"
"alteration-alist","AlterationAlist","0","Absent"
"alteration-glyph-name-alist","AlterationGlyphNameAlist","0","Absent"
"annotation","Annotation","20","Used"
"annotation-balloon","AnnotationBalloon","0","Absent"
"annotation-line","AnnotationLine","0","Absent"
"arpeggio-direction","ArpeggioDirection","0","Absent"
"arrow-length","ArrowLength","0","Absent"
"arrow-width","ArrowWidth","0","Absent"
"ascendens","Ascendens","0","Absent"
"auctum","Auctum","0","Absent"
"auto-generated","AutoGenerated","0","Absent"
"auto-knee-gap","AutoKneeGap","7","Used"
"automatically-numbered","AutomaticallyNumbered","0","Absent"
"average-spacing-wishes","AverageSpacingWishes","0","Absent"
"avoid-note-head","AvoidNoteHead","0","Absent"
"avoid-scripts","AvoidScripts","0","Absent"
"avoid-slur","AvoidSlur","1","Mention"
"axes","Axes","0","Absent"
"axis-group-parent-X","AxisGroupParentX","0","Absent"
"axis-group-parent-Y","AxisGroupParentY","0","Absent"
"bar-extent","BarExtent","0","Absent"
"bars-left","BarsLeft","0","Absent"
"bars-right","BarsRight","0","Absent"
"base-shortest-duration","BaseShortestDuration","13","Used"
"baseline-skip","BaselineSkip","2","Mention"
"beam","Beam","288","Used"
"beam-segments","BeamSegments","0","Absent"
"beam-thickness","BeamThickness","25","Used"
"beam-width","BeamWidth","0","Absent"
"beamed-stem-shorten","BeamedStemShorten","0","Absent"
"beaming","Beaming","4","Used"
"beamlet-default-length","BeamletDefaultLength","0","Absent"
"beamlet-max-length-proportion","BeamletMaxLengthProportion","0","Absent"
"before-line-breaking","BeforeLineBreaking","0","Absent"
"begin-of-line-visible","BeginOfLineVisible","0","Absent"
"bend-me","BendMe","0","Absent"
"between-cols","BetweenCols","0","Absent"
"bezier","Bezier","19","Used"
"bound-alignment-interfaces","BoundAlignmentInterfaces","0","Absent"
"bound-details","BoundDetails","0","Absent"
"bound-padding","BoundPadding","27","Used"
"bound-prefatory-paddings","BoundPrefatoryPaddings","0","Absent"
"bounded-by-me","BoundedByMe","0","Absent"
